Config,Recall@5,Recall@10,MRR@10,Answer EM,Answer F1,SF EM,SF F1,Joint EM,Joint F1,n
Config A,0.976,0.984,0.9231,0.406,0.5511,0.67,0.4703,0.38,0.4259,500
Config B,0.972,0.972,0.9452,0.426,0.566,0.71,0.6704,0.404,0.5283,500
Config C,0.924,0.924,0.876,0.252,0.4424,0.47,0.4822,0.138,0.3693,500
