Feature,Importance
AGN_HEC_N,0.7278158
AGN_HEC_Y,0.18651383
METAL,0.029352343
W3-UT,0.010284562
WF3,0.005664638
WF4,0.0056571644
u-g,0.004518195
(W3+UT)/W1,0.0029403195
U,0.0027600976
Z,0.0027271702
I,0.0026041234
logM_HEC,0.0022022596
R,0.0020761848
G,0.0020336914
logSFR_HEC,0.0020329275
BT,0.001941699
WF2,0.0019334141
T,0.0019130537
g-r,0.001615589
UT,0.001543996
WF1,0.0011854327
VT,0.00068351784
IT,0.0
