Metric,Best_classical,Neural_Network
Accuracy,0.9576728792893224,0.9547117226963944
Precision,0.9656460648458507,0.9637926841749156
Recall,0.9576728792893224,0.9547117226963944
F1-score,0.9578965968018331,0.9550415417060895
ROC-AUC,0.9932475042884759,0.9932354917473971
